developerCountry,countryCode,userRatingCount,primaryGenreName,downloads,deviceType,hasPrivacyLink,hasTermsOfServiceLink,hasTermsOfServiceLinkRating,isCorporateEmailScore,adSpent,appAge,averageUserRating,appContentBrandSafetyRating,appDescriptionBrandSafetyRating,mfaRating
NORWAY,RO,127731,Sports,,smartphone,True,True,low,99.0,14.017220031335052,160.4,4.0,medium,low,low
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Medical,50 - 100,GLOBAL,True,,,99.0,,17.5,0.0,,low,low
UNITED ARAB EMIRATES,CZ,51143,Games,50000000 - 100000000,GLOBAL,True,True,low,0.0,31.883162966505576,30.766666666666666,4.0,,low,low
GERMANY,GLOBAL,1074,Games,,GLOBAL,True,,,99.0,,71.53333333333333,4.0,,low,low
CANNOT IDENTIFY COUNTRY,GLOBAL,17,Tools,1000 - 5000,GLOBAL,True,,,99.0,,52.4,4.0,,low,low
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Tools,50 - 100,GLOBAL,True,,,0.0,,37.7,,,low,low
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,237,Games,,GLOBAL,True,,,,,88.26666666666665,0.0,medium,low,low
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Personalization,1 - 5,GLOBAL,True,,,99.0,,24.23333333333333,,,low,low
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Business,50 - 100,GLOBAL,,,,99.0,,76.26666666666665,0.0,,low,low
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Entertainment,100 - 500,GLOBAL,True,,,0.0,,71.43333333333334,0.0,,low,low
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Lifestyle,,GLOBAL,,,,,,102.33333333333331,0.0,,low,low
ADDRESS NOT LISTED IN PLAYSTORE,,404,Games,10000 - 50000,GLOBAL,True,,,99.0,132.2359626609089,30.166666666666668,4.0,,high,low
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,23,Education,10000 - 50000,GLOBAL,True,,,0.0,,74.33333333333333,3.0,,low,low
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,48,Games,,GLOBAL,,,,,,128.76666666666668,4.0,,low,low
FINLAND,GLOBAL,31,Games,50000 - 100000,tablet,True,False,high,0.0,,8.966666666666665,3.0,,low,low
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,7,Games,10 - 50,GLOBAL,True,,,0.0,,75.2,5.0,,low,low
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,164,Tools,10000 - 50000,GLOBAL,True,,,0.0,,69.66666666666667,3.0,,low,low
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Lifestyle,,GLOBAL,True,,,,,57.2,0.0,,high,low
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,112,Entertainment,10000 - 50000,GLOBAL,True,False,high,0.0,,60.36666666666667,4.0,medium,high,low
SINGAPORE,GLOBAL,0,Beauty,100 - 500,GLOBAL,True,,,0.0,,80.1,0.0,,low,low
UNITED STATES,GLOBAL,0,Business,10 - 50,GLOBAL,True,,,99.0,,91.2333333333333,5.0,,low,low
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,2,Health & Fitness,,GLOBAL,,,,,,135.6,1.0,,low,low
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Games,5 - 10,GLOBAL,True,,,0.0,,25.8,,,low,low
ADDRESS NOT LISTED IN PLAYSTORE,GT,21,Lifestyle,10000 - 50000,GLOBAL,True,,,0.0,0.0778148108732493,3.633333333333333,3.0,,low,low
REPUBLIC OF KOREA,GLOBAL,111,Entertainment,10000 - 50000,GLOBAL,True,,,99.0,,60.03333333333333,3.0,,low,low
MONGOLIA,RU,662,Games,100000 - 500000,tablet,True,True,low,99.0,0.9935487610944976,60.633333333333326,3.0,medium,low,low
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,147,Education,,GLOBAL,True,,,0.0,,41.96666666666666,4.0,,low,low
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Social,50 - 100,GLOBAL,,,,0.0,,54.5,,,low,low
PAKISTAN,GLOBAL,30,Tools,5000 - 10000,GLOBAL,True,,,0.0,,83.66666666666667,4.0,medium,low,low
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,9,Games,100 - 500,GLOBAL,True,,,0.0,,12.533333333333331,4.0,,low,low
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Games,,GLOBAL,True,,,,,57.23333333333333,0.0,,low,low
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Games,100 - 500,GLOBAL,True,,,0.0,,27.4,,,low,low
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Education,,GLOBAL,True,,,,,120.76666666666668,0.0,,low,low
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Events,5 - 10,GLOBAL,,,,0.0,,89.63333333333334,5.0,,medium,low
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Social,10 - 50,GLOBAL,True,,,0.0,,19.566666666666663,,,low,low
VIET NAM,EMEA,2653,Games,100000 - 500000,smartphone,True,False,high,0.0,126.90449835701334,5.9,4.0,,low,low
UNITED STATES,GLOBAL,56,Education,,GLOBAL,True,True,low,,,95.06666666666666,4.0,,low,low
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,11,Personalization,10000 - 50000,GLOBAL,True,,,0.0,,18.366666666666667,1.0,,low,low
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,14,Games,1000 - 5000,GLOBAL,True,,,0.0,,133.23333333333332,4.0,,low,low
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,31,Games,,GLOBAL,,,,,,136.4,4.0,low,low,low
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,News & Magazines,50 - 100,GLOBAL,,,,0.0,,53.23333333333333,,,low,low
PAKISTAN,GLOBAL,138,Entertainment,10000 - 50000,GLOBAL,True,,,0.0,,99.43333333333331,4.0,medium,low,low
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,20,Education,100 - 500,GLOBAL,True,False,high,99.0,,17.633333333333333,5.0,,low,low
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Education,,GLOBAL,True,False,high,0.0,,41.4,0.0,,low,low
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Entertainment,50 - 100,GLOBAL,True,,,99.0,,74.36666666666666,,,low,low
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,7,Personalization,50 - 100,GLOBAL,True,,,0.0,,25.3,5.0,,low,low
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,10,Lifestyle,500 - 1000,GLOBAL,True,True,low,99.0,,109.33333333333331,2.0,,low,low
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Shopping,10 - 50,GLOBAL,True,,,0.0,,67.5,,,medium,low
OMAN,GLOBAL,7,News & Magazines,1000 - 5000,GLOBAL,True,False,high,0.0,,58.333333333333336,4.0,,low,low
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,94,Games,10000 - 50000,GLOBAL,True,,,0.0,,38.23333333333333,2.0,,low,low
